OBJECTID,DevEUI,Temperature,Humidity,VDD,Distance,Pressure,Timestamp
12464,a81758fffe037506,23.6,43,,,,2021/05/30 02:01:05.657+00
12465,a81758fffe059fdc,8.3,44,3623,5000,1031.77,2021/05/30 02:03:09.916+00
12466,a81758fffe03e451,12,71,3609,2683,,2021/05/30 02:03:59.428+00
12467,a81758fffe03e451,11.8,72,3609,2687,,2021/05/30 02:13:59.380+00
12468,a81758fffe037506,23.7,43,,,,2021/05/30 02:16:05.586+00
12469,a81758fffe059fdc,7.8,44,3620,5000,1031.72,2021/05/30 02:18:09.885+00
12470,a81758fffe03e451,11.7,72,3609,2683,,2021/05/30 02:23:59.380+00
12471,a81758fffe037506,23.7,43,,,,2021/05/30 02:31:05.528+00
12472,a81758fffe03e451,11.6,72,3609,2684,,2021/05/30 02:33:59.327+00
12473,a81758fffe03e451,11.5,72,3609,2685,,2021/05/30 02:43:59.292+00
12474,a81758fffe037506,23.6,43,,,,2021/05/30 02:46:05.465+00
12475,a81758fffe059fdc,7.2,45,3623,5000,1031.825,2021/05/30 02:48:09.846+00
12476,a81758fffe03e451,11.4,72,3606,2686,,2021/05/30 02:53:59.277+00
12477,a81758fffe037506,23.6,43,,,,2021/05/30 03:01:05.418+00
12478,a81758fffe059fdc,7,46,3620,5000,1031.894,2021/05/30 03:03:09.818+00
12479,a81758fffe03e451,11.2,72,3609,2686,,2021/05/30 03:03:59.221+00
12480,a81758fffe03e451,11.1,72,3606,2686,,2021/05/30 03:13:59.171+00
12481,a81758fffe037506,23.6,43,,,,2021/05/30 03:16:05.355+00
12482,a81758fffe03e451,11,72,3606,2686,,2021/05/30 03:23:59.168+00
12483,a81758fffe037506,23.6,43,,,,2021/05/30 03:31:05.288+00
12484,a81758fffe059fdc,6.8,47,3618,5000,1031.967,2021/05/30 03:33:09.777+00
12485,a81758fffe03e451,10.9,73,3609,2684,,2021/05/30 03:33:59.092+00
12486,a81758fffe03e451,10.8,73,3606,2682,,2021/05/30 03:43:59.073+00
12487,a81758fffe059fdc,6.4,48,3620,5000,1031.922,2021/05/30 03:48:09.753+00
12488,a81758fffe03e451,10.7,73,3606,2144,,2021/05/30 03:53:59.042+00
